Sensor Model:   PT1000
Serial Number:  VZ_N6PT
Data Format:    4      (Log Ohms/Kelvin)
SetPoint Limit: 100.0      (Kelvin)
Temperature coefficient:  2 (Positive)
Number of Breakpoints:   93

No.   Units      Temperature (K)
1 3.112935 350
2 3.106488 345
3 3.099933 340
4 3.093266 335
5 3.086486 330
6 3.079587 325
7 3.072566 320
8 3.065419 315
9 3.058141 310
10 3.050729 305
11 3.043177 300
12 3.035479 295
13 3.027632 290
14 3.019628 285
15 3.011463 280
16 3.003128 275
17 2.994618 270
18 2.985924 265
19 2.977040 260
20 2.967955 255
21 2.958663 250
22 2.949152 245
23 2.939412 240
24 2.929432 235
25 2.919200 230
26 2.908703 225
27 2.897927 220
28 2.886857 215
29 2.875476 210
30 2.863766 205
31 2.851707 200
32 2.839279 195
33 2.826458 190
34 2.813218 185
35 2.799532 180
36 2.785368 175
37 2.770691 170
38 2.755464 165
39 2.739644 160
40 2.723183 155
41 2.706027 150
42 2.688116 145
43 2.669381 140
44 2.649744 135
45 2.629113 130
46 2.607385 125
47 2.584438 120
48 2.560130 115
49 2.534291 110
50 2.506719 105
51 2.477168 100
52 2.445339 95
53 2.410856 90
54 2.373246 85
55 2.331895 80
56 2.285991 75
57 2.234426 70
58 2.21544223483 69.0
59 2.18995080611 67.0
60 2.16518454358 65.0
61 2.14225926205 63.0
62 2.11452160426 61.0
63 2.08405130066 59.0
64 2.05290694455 57.0
65 2.01957259685 55.0
66 1.98772990783 53.0
67 1.94730630978 51.0
68 1.90630103717 49.0
69 1.87568421428 47.2
70 1.84106443163 45.4
71 1.79436615009 43.6
72 1.75719721016 41.8
73 1.70274629789 39.9
74 1.66033950631 38.2
75 1.62263898705 36.5
76 1.56912721645 34.9
77 1.51935615937 33.3
78 1.47288473086 31.7
79 1.43443411703 30.2
80 1.39294933372 28.7
81 1.34918765649 27.2
82 1.30540798544 25.8
83 1.26028630629 24.5
84 1.21069809961 23.2
85 1.17504947282 21.9
86 1.14676370955 20.7
87 1.12295308193 19.8
88 1.10235063152 19.1
89 1.08178953495 18.4
90 1.06071619841 17.7
91 1.05016927971 17.05
92 1.04006312071 16.4
93 1.02959860462 15.75
